Date;port_log_returns_gross;port_log_returns_net;cost;turnover;VaR_hist;ES_hist;VaR_breach;equity;drawdown;drawdown_mag;exposure_dd;exposure_cb;exposure_final;corr_abs_mean;corr_stress_flag
2016-09-08;-0,0007784710348797;-0,0007784710348797;0,0;0,0;;;;0,9992218318950838;0,0;-0,0;1,0;1,0;1,0;;
2016-09-09;-0,000391866565988425;-0,000391866565988425;0,0;0,0;;;;0,9988303469770934;-0,0003917897963137819;0,0003917897963137819;1,0;1,0;1,0;;
2016-09-12;-0,000294944801591825;-0,000294944801591825;0,0;0,0;;;;0,9985357905996518;-0,000686575566639612;0,000686575566639612;1,0;1,0;1,0;;
2016-09-13;-0,000340505214450425;-0,000340505214450425;0,0;0,0;;;;0,998195841836585;-0,0010267890730058832;0,0010267890730058832;1,0;1,0;1,0;;
2016-09-14;-6,61562669759646e-06;-6,61562669759646e-06;0,0;0,0;;;;0,9981892381673682;-0,001033397884989478;0,001033397884989478;1,0;1,0;1,0;;
2016-09-15;-0,00017620936548885;-0,00017620936548885;0,0;0,0;;;;0,9980133633709211;-0,0012094096481767758;0,0012094096481767758;1,0;1,0;1,0;;
2016-09-16;-0,000220719872936825;-0,000220719872936825;0,0;0,0;;;;0,9977931062966195;-0,0014298382529879619;0,0014298382529879619;1,0;1,0;1,0;;
2016-09-19;3,6197738258625e-05;3,6197738258625e-05;0,0;0,0;;;;0,9978292248040177;-0,0013936916174309185;0,0013936916174309185;1,0;1,0;1,0;;
2016-09-20;0,000166243761520125;0,000166243761520125;0,0;0,0;;;;0,9979951214769652;-0,001227665748447555;0,001227665748447555;1,0;1,0;1,0;;
2016-09-21;0,000707997017434025;0,000707997017434025;0,0;0,0;;;;0,9987019492328307;-0,0005202875334170034;0,0005202875334170034;1,0;1,0;1,0;;
2016-09-22;-0,000254811482879775;-0,000254811482879775;0,0;0,0;;;;0,9984475009277436;-0,0007749339962595576;0,0007749339962595576;1,0;1,0;1,0;;
2016-09-23;-0,00049351723477935;-0,00049351723477935;0,0;0,0;;;;0,9979548714485812;-0,0012679471225121109;0,0012679471225121109;1,0;1,0;1,0;;
2016-09-26;0,000106966275571175;0,000106966275571175;0,0;0,0;;;;0,9980616246737638;-0,0011611107606802785;0,0011611107606802785;1,0;1,0;1,0;;
2016-09-27;0,000373432312355175;0,000373432312355175;0,0;0,0;;;;0,998434402733493;-0,0007880423910448354;0,0007880423910448354;1,0;1,0;1,0;;
2016-09-28;-0,00039354052964195;-0,00039354052964195;0,0;0,0;;;;0,9980415556355262;-0,0011811954281655045;0,0011811954281655045;1,0;1,0;1,0;;
2016-09-29;-0,000255657863170375;-0,000255657863170375;0,0;0,0;;;;0,9977864310777464;-0,0014365186703487775;0,0014365186703487775;1,0;1,0;1,0;;
2016-09-30;0,000212542717817675;0,000212542717817675;0,0;0,0;;;;0,9979985258564112;-0,0012242587177589258;0,0012242587177589258;1,0;1,0;1,0;;
2016-10-03;-0,000135337097289525;-0,000135337097289525;0,0;0,0;;;;0,9978634687721456;-0,001359420980986802;0,001359420980986802;1,0;1,0;1,0;;
2016-10-04;-0,0003796624270334;-0,0003796624270334;0,0;0,0;;;;0,9974846894144387;-0,0017384953222554847;0,0017384953222554847;1,0;1,0;1,0;;
2016-10-05;8,501359709365e-05;8,501359709365e-05;0,0;0,0;;;;0,9975694927806001;-0,0016536259134269948;0,0016536259134269948;1,0;1,0;1,0;;
2016-10-06;-0,00025662452972255;-0,00025662452972255;0,0;0,0;;;;0,9973135248238828;-0,0019097932113651128;0,0019097932113651128;1,0;1,0;1,0;;
2016-10-07;0,0006894642712034;0,0006894642712034;0,0;0,0;;;;0,9980013739628913;-0,0012214083932471998;0,0012214083932471998;1,0;1,0;1,0;;
2016-10-10;-0,00022192349649835;-0,00022192349649835;0,0;0,0;;;;0,9977799185824564;-0,001443036237401625;0,001443036237401625;1,0;1,0;1,0;;
2016-10-11;-0,0009419816696931;-0,0009419816696931;0,0;0,0;;;;0,9968404707295591;-0,0023832157079758686;0,0023832157079758686;1,0;1,0;1,0;;
2016-10-12;3,868284574045e-05;3,868284574045e-05;0,0;0,0;;;;0,9968790321015432;-0,002344624305393152;0,002344624305393152;1,0;1,0;1,0;;
2016-10-13;-0,000164058004785875;-0,000164058004785875;0,0;0,0;;;;0,9967154995313041;-0,0025082842305660193;0,0025082842305660193;1,0;1,0;1,0;;
2016-10-14;-1,989990473205e-05;-1,989990473205e-05;0,0;0,0;;;;0,9966956651851699;-0,0025281340231756906;0,0025281340231756906;1,0;1,0;1,0;;
2016-10-17;8,690883924062504e-05;8,690883924062504e-05;0,0;0,0;;;;0,9967822906127104;-0,0024414411339939517;0,0024414411339939517;1,0;1,0;1,0;;
2016-10-18;0,0006505688135381;0,0006505688135381;0,0;0,0;;;;0,9974309770695803;-0,0017922494968981009;0,0017922494968981009;1,0;1,0;1,0;;
2016-10-19;-0,0001464135383755;-0,0001464135383755;0,0;0,0;;;;0,9972849503613466;-0,0019383899269533238;0,0019383899269533238;1,0;1,0;1,0;;
2016-10-20;0,00022841943269125;0,00022841943269125;0,0;0,0;;;;0,9975127756428098;-0,001710387221056504;0,001710387221056504;1,0;1,0;1,0;;
2016-10-21;4,493836343016959e-05;4,493836343016959e-05;0,0;0,0;;;;0,9975576032416799;-0,001665524711612514;0,001665524711612514;1,0;1,0;1,0;;
2016-10-24;1,434400748381865e-05;1,434400748381865e-05;0,0;0,0;;;;0,9975719123180308;-0,001651204491723225;0,001651204491723225;1,0;1,0;1,0;;
2016-10-25;5,6765209063225e-05;5,6765209063225e-05;0,0;0,0;;;;0,997628541303452;-0,0015945314051135707;0,0015945314051135707;1,0;1,0;1,0;;
2016-10-26;-0,0002254968737832;-0,0002254968737832;0,0;0,0;;;;0,9974036045484118;-0,0018196433350777107;0,0018196433350777107;1,0;1,0;1,0;;
2016-10-27;-0,000353358776158675;-0,000353358776158675;0,0;0,0;;;;0,9970512254931548;-0,002172296814024094;0,002172296814024094;1,0;1,0;1,0;;
2016-10-28;0,000281362508010325;0,000281362508010325;0,0;0,0;;;;0,9973317977959868;-0,0018915060087433102;0,0018915060087433102;1,0;1,0;1,0;;
2016-10-31;-2,7478348968e-05;-2,7478348968e-05;0,0;0,0;;;;0,9973043931413291;-0,0019189320054368525;0,0019189320054368525;1,0;1,0;1,0;;
2016-11-01;-0,0006834366979607749;-0,0006834366979607749;0,0;0,0;;;;0,9966230315802878;-0,002600824193229756;0,002600824193229756;1,0;1,0;1,0;;
2016-11-02;-5,6556340836925014e-05;-5,6556340836925014e-05;0,0;0,0;;;;0,9965666678223067;-0,0026572318458469107;0,0026572318458469107;1,0;1,0;1,0;;
2016-11-03;0,00017578475129572809;0,00017578475129572809;0,0;0,0;;;;0,9967418644441557;-0,002481898785402586;0,002481898785402586;1,0;1,0;1,0;;
2016-11-04;0,000472702154262325;0,000472702154262325;0,0;0,0;;;;0,9972131378479231;-0,002010258366103896;0,002010258366103896;1,0;1,0;1,0;;
2016-11-07;0,00030716556180031154;0,00030716556180031154;0,0;0,0;;;;0,9975194944303318;-0,0017036632011166411;0,0017036632011166411;1,0;1,0;1,0;;
2016-11-08;-0,003731852660527125;-0,003731852660527125;0,0;0,0;;;;0,9938038361080569;-0,00542221518193953;0,00542221518193953;1,0;1,0;1,0;;
2016-11-09;-0,0010875697885384;-0,0010875697885384;0,0;0,0;;;;0,9927235926067471;-0,0065032999489336675;0,0065032999489336675;1,0;1,0;1,0;;
2016-11-10;-0,0006658409508571134;-0,0006658409508571134;0,0;0,0;;;;0,9920628165961837;-0,007164590554754667;0,007164590554754667;1,0;1,0;1,0;;
2016-11-11;-2,262020741308096e-05;-2,262020741308096e-05;0,0;0,0;;;;0,9920403761833099;-0,007187048443641306;0,007187048443641306;1,0;1,0;1,0;;
