Pair,Momentum,Mean-Reversion,TSMOM,Carry Trade
USDCLP,0.3192596995497076,0.23404230289930975,0.2233489987754913,0.2233489987754913
USDPKR,0.07590506702816636,0.7105848957518943,0.14752100751703473,0.06598902970290452
USDCNY,0.1007271650284216,0.3224651380302616,0.3963739880672103,0.18043370887410654
USDZAR,0.4794548023579596,0.1857782222886234,0.10359456171259093,0.23117241364082605
USDHKD,0.6061528520957948,0.13128238263473507,0.13128238263473507,0.13128238263473507
GBPUSD,0.24640731186222323,0.3768653018973113,0.18836369312023277,0.18836369312023277
USDTRY,0.3341812076712387,0.0,0.3313504500248561,0.3344683423039052
USDMXN,0.3337711971513645,0.6527321208103299,0.0,0.013496682038305478
