Pair,Groupe,Feature,Type,Forward,IC,ICIR,IC_sign,p-value,n_obs,pct_pos,pct_pos_raw,Carry,Verdict
GBPUSD,G10,Mom_60,Nouvelle,20j,0.0134,-0.07,1,0.5065,2456,43%,0.4333,0.125,JETTE
GBPUSD,G10,Mom_120,Nouvelle,20j,0.0029,-0.584,1,0.8855,2456,30%,0.3,0.125,JETTE
GBPUSD,G10,Mom_Ratio,Nouvelle,20j,0.0175,0.05,1,0.3856,2456,57%,0.5667,0.125,JETTE
GBPUSD,G10,BB_Width,Nouvelle,20j,0.0166,0.301,1,0.4109,2456,57%,0.5667,0.125,JETTE
GBPUSD,G10,Dist_MA20,Nouvelle,20j,0.0078,-0.053,1,0.6996,2456,42%,0.4167,0.125,JETTE
NZDUSD,G10,Vol_20,Existante,5j,0.0246,0.573,1,0.2219,2471,75%,0.7521,-0.125,JETTE
NZDUSD,G10,Hurst,Existante,5j,-0.0138,-0.21,-1,0.4938,2471,45%,0.4463,-0.125,JETTE
NZDUSD,G10,Mom_20,Nouvelle,5j,-0.0116,-0.42,-1,0.5636,2471,29%,0.2893,-0.125,JETTE
NZDUSD,G10,Mom_60,Nouvelle,5j,-0.0274,-1.559,-1,0.1734,2471,7%,0.0661,-0.125,JETTE
NZDUSD,G10,Mom_120,Nouvelle,5j,-0.0364,-1.179,-1,0.0708,2471,6%,0.0579,-0.125,FILTRE
NZDUSD,G10,Mom_Ratio,Nouvelle,5j,-0.0068,-0.286,-1,0.7337,2471,32%,0.3223,-0.125,JETTE
NZDUSD,G10,BB_Width,Nouvelle,5j,0.0175,0.574,1,0.3847,2471,69%,0.6942,-0.125,JETTE
NZDUSD,G10,Dist_MA20,Nouvelle,5j,-0.0133,-0.434,-1,0.5097,2471,35%,0.3471,-0.125,JETTE
NZDUSD,G10,Vol_20,Existante,20j,-0.003,-0.122,-1,0.883,2456,42%,0.4167,-0.125,JETTE
NZDUSD,G10,Hurst,Existante,20j,-0.0221,-0.373,-1,0.274,2456,34%,0.3417,-0.125,JETTE
NZDUSD,G10,Mom_20,Nouvelle,20j,-0.0126,-0.363,-1,0.5328,2456,40%,0.4,-0.125,JETTE
NZDUSD,G10,Mom_60,Nouvelle,20j,-0.0388,-0.909,-1,0.0543,2456,23%,0.2333,-0.125,FILTRE
NZDUSD,G10,Mom_120,Nouvelle,20j,-0.0341,-0.963,-1,0.0915,2456,12%,0.125,-0.125,FILTRE
NZDUSD,G10,Mom_Ratio,Nouvelle,20j,-0.0046,-0.169,-1,0.8201,2456,43%,0.4333,-0.125,JETTE
NZDUSD,G10,BB_Width,Nouvelle,20j,0.0064,0.107,1,0.7524,2456,58%,0.5833,-0.125,JETTE
NZDUSD,G10,Dist_MA20,Nouvelle,20j,-0.0209,-0.341,-1,0.3015,2456,30%,0.3,-0.125,JETTE
USDBRL,EM,Vol_20,Existante,5j,-0.0272,-0.607,-1,0.177,2471,29%,0.2893,-11.125,JETTE
USDBRL,EM,Hurst,Existante,5j,0.0336,0.358,1,0.0948,2471,64%,0.6364,-11.125,FILTRE
USDBRL,EM,Mom_20,Nouvelle,5j,-0.0135,-0.543,-1,0.5012,2471,32%,0.3223,-11.125,JETTE
USDBRL,EM,Mom_60,Nouvelle,5j,-0.0015,-0.62,-1,0.9407,2471,25%,0.2479,-11.125,JETTE
USDBRL,EM,Mom_120,Nouvelle,5j,0.0045,-1.076,1,0.8228,2471,12%,0.124,-11.125,JETTE
USDBRL,EM,Mom_Ratio,Nouvelle,5j,-0.009,-0.428,-1,0.6536,2471,30%,0.2975,-11.125,JETTE
USDBRL,EM,BB_Width,Nouvelle,5j,-0.0052,-0.224,-1,0.7952,2471,46%,0.4628,-11.125,JETTE
USDBRL,EM,Dist_MA20,Nouvelle,5j,-0.0019,-0.275,-1,0.9244,2471,36%,0.3554,-11.125,JETTE
USDBRL,EM,Vol_20,Existante,20j,-0.0231,-0.27,-1,0.2526,2456,45%,0.45,-11.125,JETTE
