feature,importance
Mom_20,3974.7222302872688
Mom_120,3674.0505903009325
Dist_MA20,3223.9925203323364
Vol_20,3110.825506493449
Mom_Ratio,2963.4435871560127
Vol_Regime,2846.4043298792094
Trend,2718.983535943553
BB_Width,2284.791724920273
Mom_60,2272.7157853711396
Hurst,1675.1585931982845
