Pair,Max_Sharpe,Min_Variance,Final_Weight
GBPUSD,0.05932198554743028,0.19985961184342793,0.08742951080662982
USDCLP,4.0058225555796995e-17,0.03723012286938441,0.007446024573876915
USDCNY,0.2406780144525695,0.3162496613762851,0.25579234383731264
USDHKD,1.9007501630913814e-17,0.35,0.07
USDMXN,0.0,0.033513467916679016,0.006702693583335803
USDPKR,0.34999999999999953,0.036850695277687195,0.2873701390555371
USDTRY,0.35,0.009439598100624325,0.2818879196201248
USDZAR,7.155695039520362e-16,0.016856842615911898,0.0033713685231829523
