Date;Adj Close;Close;High;Low;Open;Volume
2016-03-24;3,8359599113464355;3,8359599113464355;3,84306001663208;3,8296000957489014;3,8359599113464355;0
2016-03-25;3,829710006713867;3,829710006713867;3,8388800621032715;3,8279600143432617;3,829710006713867;0
2016-03-28;3,8319599628448486;3,8319599628448486;3,8442599773406982;3,8205199241638184;3,8319599628448486;0
2016-03-29;3,820859909057617;3,820859909057617;3,836780071258545;3,8153998851776123;3,820859909057617;0
2016-03-30;3,8008599281311035;3,8008599281311035;3,8052499294281006;3,756200075149536;3,801529884338379;0
2016-03-31;3,780980110168457;3,780980110168457;3,790879964828491;3,7533600330352783;3,779860019683838;0
2016-04-01;3,749959945678711;3,749959945678711;3,7917799949645996;3,749959945678711;3,749959945678711;0
2016-04-04;3,764780044555664;3,764780044555664;3,790060043334961;3,764780044555664;3,764780044555664;0
2016-04-05;3,7761600017547607;3,7761600017547607;3,821959972381592;3,7729499340057373;3,7761600017547607;0
2016-04-06;3,8113598823547363;3,8113598823547363;3,818779945373535;3,791379928588867;3,811729907989502;0
2016-04-07;3,7916300296783447;3,7916300296783447;3,8013598918914795;3,7781200408935547;3,7916300296783447;0
2016-04-08;3,7839601039886475;3,7839601039886475;3,7988600730895996;3,776370048522949;3,784060001373291;0
2016-04-11;3,7727301120758057;3,7727301120758057;3,782059907913208;3,76104998588562;3,7727301120758057;0
2016-04-12;3,753459930419922;3,753459930419922;3,7779600620269775;3,751159906387329;3,7534799575805664;0
2016-04-13;3,7650599479675293;3,7650599479675293;3,7801599502563477;3,7639100551605225;3,7650599479675293;0
2016-04-14;3,7699599266052246;3,7699599266052246;3,7915499210357666;3,770090103149414;3,770090103149414;0
2016-04-15;3,7838399410247803;3,7838399410247803;3,784940004348755;3,7699201107025146;3,784219980239868;0
2016-04-18;3,76065993309021;3,76065993309021;3,778640031814575;3,7625999450683594;3,7635600566864014;0
2016-04-19;3,763859987258911;3,763859987258911;3,7731900215148926;3,7577500343322754;3,7685599327087402;0
2016-04-20;3,7551798820495605;3,7551798820495605;3,7661900520324707;3,753459930419922;3,7565999031066895;0
2016-04-21;3,765010118484497;3,765010118484497;3,7717700004577637;3,7520999908447266;3,7675399780273438;0
2016-04-22;3,7663800716400146;3,7663800716400146;3,7777199745178223;3,760849952697754;3,7663800716400146;0
2016-04-25;3,760960102081299;3,760960102081299;3,776020050048828;3,7596499919891357;3,7618000507354736;0
2016-04-26;3,755959987640381;3,755959987640381;3,7695701122283936;3,7524499893188477;3,7563400268554688;0
2016-04-27;3,755160093307495;3,755160093307495;3,7684500217437744;3,7507500648498535;3,755160093307495;0
2016-04-28;3,749079942703247;3,749079942703247;3,7649600505828857;3,747760057449341;3,749959945678711;0
2016-04-29;3,75246000289917;3,75246000289917;3,7525999546051025;3,7298600673675537;3,751539945602417;0
2016-05-02;3,7258100509643555;3,7258100509643555;3,7537999153137207;3,727289915084839;3,7338600158691406;0
2016-05-03;3,7450599670410156;3,7450599670410156;3,7783000469207764;3,7319700717926025;3,745150089263916;0
2016-05-04;3,7734599113464355;3,7734599113464355;3,789979934692383;3,7651500701904297;3,7734599113464355;0
2016-05-05;3,785360097885132;3,785360097885132;3,79010009765625;3,7727599143981934;3,7854599952697754;0
2016-05-06;3,785360097885132;3,785360097885132;3,7969300746917725;3,77266001701355;3,7854599952697754;0
2016-05-09;3,7878599166870117;3,7878599166870117;3,7885000705718994;3,7733700275421143;3,7878599166870117;0
2016-05-10;3,785360097885132;3,785360097885132;3,787339925765991;3,7701001167297363;3,785360097885132;0
2016-05-11;3,773020029067993;3,773020029067993;3,77662992477417;3,7474899291992188;3,773200035095215;0
2016-05-12;3,750459909439087;3,750459909439087;3,7667999267578125;3,750659942626953;3,750659942626953;0
2016-05-13;3,7643399238586426;3,7643399238586426;3,788180112838745;3,763700008392334;3,7643001079559326;0
2016-05-16;3,782560110092163;3,782560110092163;3,8192598819732666;3,782360076904297;3,782560110092163;0
2016-05-17;3,8214399814605713;3,8214399814605713;3,8214399814605713;3,808300018310547;3,8214399814605713;0
2016-05-18;3,810960054397583;3,810960054397583;3,8412599563598633;3,810659885406494;3,810960054397583;0
2016-05-19;3,8428399562835693;3,8428399562835693;3,8717598915100098;3,8429598808288574;3,8440001010894775;0
2016-05-20;3,8616600036621094;3,8616600036621094;3,8881800174713135;3,858259916305542;3,8618600368499756;0
2016-05-23;3,8628900051116943;3,8628900051116943;3,8824799060821533;3,861829996109009;3,8628299236297607;0
2016-05-24;3,86296010017395;3,86296010017395;3,87280011177063;3,8479299545288086;3,8630599975585938;0
2016-05-25;3,8484599590301514;3,8484599590301514;3,8601601123809814;3,8386600017547607;3,8484599590301514;0
2016-05-26;3,842940092086792;3,842940092086792;3,8475899696350098;3,824199914932251;3,842940092086792;0
2016-05-27;3,8309600353240967;3,8309600353240967;3,8491899967193604;3,8309600353240967;3,8310599327087402;0
2016-05-30;3,837559938430786;3,837559938430786;3,86188006401062;3,8377599716186523;3,8377599716186523;0
2016-05-31;3,837820053100586;3,837820053100586;3,854259967803955;3,8345000743865967;3,8378100395202637;0
2016-06-01;3,849790096282959;3,849790096282959;3,859570026397705;3,842449903488159;3,849829912185669;0
2016-06-02;3,8489599227905273;3,8489599227905273;3,8625099658966064;3,843559980392456;3,8490099906921387;0
2016-06-03;3,860059976577759;3,860059976577759;3,8763599395751953;3,8354599475860596;3,860059976577759;0
2016-06-06;3,8368101119995117;3,8368101119995117;3,8447999954223633;3,8200199604034424;3,8368399143218994;0
2016-06-07;3,819960117340088;3,819960117340088;3,831389904022217;3,8067100048065186;3,819960117340088;0
2016-06-08;3,8309600353240967;3,8309600353240967;3,839970111846924;3,81754994392395;3,8309600353240967;0
2016-06-09;3,8329598903656006;3,8329598903656006;3,8460800647735596;3,832240104675293;3,8329598903656006;0
2016-06-10;3,833739995956421;3,833739995956421;3,8593199253082275;3,8295600414276123;3,830519914627075;0
2016-06-13;3,8508100509643555;3,8508100509643555;3,875430107116699;3,8509600162506104;3,8509600162506104;0
2016-06-14;3,856260061264038;3,856260061264038;3,878959894180298;3,8552000522613525;3,856329917907715;0
2016-06-15;3,873110055923462;3,873110055923462;3,881880044937134;3,863409996032715;3,873110055923462;0
2016-06-16;3,8505098819732666;3,8505098819732666;3,8832600116729736;3,8475100994110107;3,8505098819732666;0
2016-06-17;3,868000030517578;3,868000030517578;3,8750600814819336;3,8567099571228027;3,867990016937256;0
2016-06-20;3,8549599647521973;3,8549599647521973;3,8620100021362305;3,841330051422119;3,8600099086761475;0
2016-06-21;3,8533599376678467;3,8533599376678467;3,8660600185394287;3,852760076522827;3,8533599376678467;0
2016-06-22;3,856060028076172;3,856060028076172;3,8650898933410645;3,8415000438690186;3,856060028076172;0
2016-06-23;3,83201003074646;3,83201003074646;3,8460500240325928;3,8142600059509277;3,8320600986480713;0
2016-06-24;3,819960117340088;3,819960117340088;3,909250020980835;3,819960117340088;3,819960117340088;0
2016-06-27;3,889899969100952;3,889899969100952;3,903510093688965;3,8829500675201416;3,889930009841919;0
2016-06-28;3,877959966659546;3,877959966659546;3,8889999389648438;3,8719398975372314;3,877959966659546;0
2016-06-29;3,8665599822998047;3,8665599822998047;3,8719398975372314;3,85086989402771;3,8665599822998047;0
2016-06-30;3,848759889602661;3,848759889602661;3,8585898876190186;3,841480016708374;3,8488900661468506;0
2016-07-01;3,852060079574585;3,852060079574585;3,8563499450683594;3,835330009460449;3,852060079574585;0
2016-07-04;3,842250108718872;3,842250108718872;3,859760046005249;3,8405001163482666;3,8449599742889404;0
2016-07-05;3,8484599590301514;3,8484599590301514;3,890429973602295;3,844749927520752;3,8479299545288086;0
2016-07-06;3,888159990310669;3,888159990310669;3,8997600078582764;3,8867599964141846;3,888159990310669;0
2016-07-07;3,8758599758148193;3,8758599758148193;3,885390043258667;3,874229907989502;3,875809907913208;0
2016-07-08;3,88358998298645;3,88358998298645;3,8935599327087402;3,872260093688965;3,88358998298645;0
2016-07-11;3,8728599548339844;3,8728599548339844;3,884459972381592;3,8730599880218506;3,8745501041412354;0
2016-07-12;3,8795599937438965;3,8795599937438965;3,8827600479125977;3,86860990524292;3,8795599937438965;0
2016-07-13;3,863960027694702;3,863960027694702;3,8781399726867676;3,85506010055542;3,863960027694702;0
2016-07-14;3,860460042953491;3,860460042953491;3,8610000610351562;3,843329906463623;3,858760118484497;0
2016-07-15;3,8459599018096924;3,8459599018096924;3,871040105819702;3,8414199352264404;3,8462600708007812;0
2016-07-18;3,859100103378296;3,859100103378296;3,8635001182556152;3,84945011138916;3,859100103378296;0
2016-07-19;3,8514599800109863;3,8514599800109863;3,8638100624084473;3,8501999378204346;3,8516600131988525;0
2016-07-20;3,853100061416626;3,853100061416626;3,8673899173736572;3,853100061416626;3,853519916534424;0
2016-07-21;3,8509299755096436;3,8509299755096436;3,858560085296631;3,840640068054199;3,850990056991577;0
2016-07-22;3,841059923171997;3,841059923171997;3,8459200859069824;3,829050064086914;3,8409600257873535;0
2016-07-25;3,8339600563049316;3,8339600563049316;3,8487699031829834;3,8346099853515625;3,8348300457000732;0
2016-07-26;3,8457601070404053;3,8457601070404053;3,8457601070404053;3,837970018386841;3,8457601070404053;0
2016-07-27;3,8364601135253906;3,8364601135253906;3,844130039215088;3,8347299098968506;3,8373401165008545;0
2016-07-28;3,8300600051879883;3,8300600051879883;3,8330600261688232;3,81754994392395;3,8300600051879883;0
2016-07-29;3,823349952697754;3,823349952697754;3,8299200534820557;3,8055601119995117;3,823359966278076;0
2016-08-01;3,6974499225616455;3,6974499225616455;3,8155100345611572;3,697550058364868;3,7931599617004395;0
2016-08-02;3,811959981918335;3,811959981918335;3,815840005874634;3,8055100440979004;3,811959981918335;0
2016-08-03;3,807260036468506;3,807260036468506;3,828130006790161;3,8060100078582764;3,807810068130493;0
2016-08-04;3,822740077972412;3,822740077972412;3,827939987182617;3,8217599391937256;3,822740077972412;0
2016-08-05;3,8254599571228027;3,8254599571228027;3,8412599563598633;3,817199945449829;3,8254599571228027;0
2016-08-08;3,81496000289917;3,81496000289917;3,8368000984191895;3,8150599002838135;3,8151299953460693;0
2016-08-09;3,816960096359253;3,816960096359253;3,823539972305298;3,80964994430542;3,816960096359253;0
2016-08-10;3,812659978866577;3,812659978866577;3,821890115737915;3,8052499294281006;3,812659978866577;0
2016-08-11;3,8178598880767822;3,8178598880767822;3,821810007095337;3,8043599128723145;3,817660093307495;0
2016-08-12;3,8112900257110596;3,8112900257110596;3,8157401084899902;3,803040027618408;3,811389923095703;0
2016-08-15;3,803529977798462;3,803529977798462;3,811650037765503;3,792059898376465;3,803539991378784;0
2016-08-16;3,7872400283813477;3,7872400283813477;3,792059898376465;3,770859956741333;3,7872400283813477;0
2016-08-17;3,7711598873138428;3,7711598873138428;3,7964999675750732;3,7711598873138428;3,7711598873138428;0
2016-08-18;3,7858800888061523;3,7858800888061523;3,7892799377441406;3,7632598876953125;3,785860061645508;0
2016-08-19;3,7563600540161133;3,7563600540161133;3,7723898887634277;3,7563600540161133;3,7567598819732666;0
2016-08-22;3,7589900493621826;3,7589900493621826;3,782259941101074;3,759160041809082;3,759160041809082;0
2016-08-23;3,774660110473633;3,774660110473633;3,7748401165008545;3,763550043106079;3,774660110473633;0
2016-08-24;3,7675600051879883;3,7675600051879883;3,7789499759674072;3,7625300884246826;3,7675600051879883;0
2016-08-25;3,76065993309021;3,76065993309021;3,770159959793091;3,753000020980835;3,76065993309021;0
2016-08-26;3,756469964981079;3,756469964981079;3,7702600955963135;3,7448599338531494;3,756649971008301;0
2016-08-29;3,777359962463379;3,777359962463379;3,79229998588562;3,7731199264526367;3,777359962463379;0
2016-08-30;3,7849600315093994;3,7849600315093994;3,793260097503662;3,777400016784668;3,7849600315093994;0
2016-08-31;3,785759925842285;3,785759925842285;3,7961599826812744;3,7799599170684814;3,785759925842285;0
2016-09-01;3,7720699310302734;3,7720699310302734;3,783060073852539;3,7652599811553955;3,773159980773926;0
2016-09-02;3,765360116958618;3,765360116958618;3,77236008644104;3,749850034713745;3,7652599811553955;0
2016-09-05;3,7563300132751465;3,7563300132751465;3,770159959793091;3,7557499408721924;3,756309986114502;0
2016-09-06;3,7604598999023438;3,7604598999023438;3,7683401107788086;3,7392399311065674;3,7604598999023438;0
2016-09-07;3,7529098987579346;3,7529098987579346;3,7732601165771484;3,747040033340454;3,7530200481414795;0
2016-09-08;3,756160020828247;3,756160020828247;3,760159969329834;3,7441799640655518;3,756160020828247;0
2016-09-09;3,7540600299835205;3,7540600299835205;3,765619993209839;3,745879888534546;3,7540600299835205;0
2016-09-12;3,75816011428833;3,75816011428833;3,7784600257873535;3,75816011428833;3,75816011428833;0
2016-09-13;3,7655599117279053;3,7655599117279053;3,786760091781616;3,763010025024414;3,7657599449157715;0
2016-09-14;3,7829599380493164;3,7829599380493164;3,78875994682312;3,7808001041412354;3,7829599380493164;0
2016-09-15;3,7819600105285645;3,7819600105285645;3,789639949798584;3,7669599056243896;3,7822699546813965;0
2016-09-16;3,76705002784729;3,76705002784729;3,780060052871704;3,758549928665161;3,7668700218200684;0
2016-09-19;3,7717599868774414;3,7717599868774414;3,7783100605010986;3,76636004447937;3,7717599868774414;0
2016-09-20;3,770859956741333;3,770859956741333;3,7813398838043213;3,766590118408203;3,7710299491882324;0
2016-09-21;3,7705600261688232;3,7705600261688232;3,78439998626709;3,766740083694458;3,770859956741333;0
2016-09-22;3,7567598819732666;3,7567598819732666;3,763159990310669;3,7532999515533447;3,7567598819732666;0
2016-09-23;3,7587599754333496;3,7587599754333496;3,7627899646759033;3,75642991065979;3,7587599754333496;0
2016-09-26;3,7552199363708496;3,7552199363708496;3,7695600986480713;3,746429920196533;3,7557599544525146;0
2016-09-27;3,74685001373291;3,74685001373291;3,755150079727173;3,7412500381469727;3,7466299533843994;0
2016-09-28;3,742460012435913;3,742460012435913;3,7654600143432617;3,742460012435913;3,74249005317688;0
2016-09-29;3,745759963989258;3,745759963989258;3,75927996635437;3,742150068283081;3,7453598976135254;0
2016-09-30;3,745800018310547;3,745800018310547;3,7627100944519043;3,7461600303649902;3,7461600303649902;0
2016-10-03;3,7435600757598877;3,7435600757598877;3,765589952468872;3,7421998977661133;3,74426007270813;0
2016-10-04;3,7520599365234375;3,7520599365234375;3,7784299850463867;3,7519500255584717;3,7520198822021484;0
2016-10-05;3,777240037918091;3,777240037918091;3,7782299518585205;3,761399984359741;3,777240037918091;0
2016-10-06;3,7659199237823486;3,7659199237823486;3,7906599044799805;3,7659199237823486;3,7659199237823486;0
2016-10-07;3,7807600498199463;3,7807600498199463;3,8020200729370117;3,7807600498199463;3,7807600498199463;0
2016-10-10;3,787559986114502;3,787559986114502;3,7928600311279297;3,782089948654175;3,787760019302368;0
2016-10-11;3,785059928894043;3,785059928894043;3,8113200664520264;3,784450054168701;3,785059928894043;0
2016-10-12;3,8011600971221924;3,8011600971221924;3,8204400539398193;3,8011600971221924;3,8011600971221924;0
2016-10-13;3,8142199516296387;3,8142199516296387;3,8185698986053467;3,8033699989318848;3,81358003616333;0
2016-10-14;3,8013598918914795;3,8013598918914795;3,822920083999634;3,7995500564575195;3,8015599250793457;0
2016-10-17;3,816159963607788;3,816159963607788;3,831120014190674;3,814349889755249;3,816159963607788;0
2016-10-18;3,827889919281006;3,827889919281006;3,828619956970215;3,8108599185943604;3,827889919281006;0
2016-10-19;3,8238399028778076;3,8238399028778076;3,833620071411133;3,816309928894043;3,8241400718688965;0
2016-10-20;3,8262200355529785;3,8262200355529785;3,8484599590301514;3,8259599208831787;3,8259599208831787;0
2016-10-21;3,8436501026153564;3,8436501026153564;3,8648200035095215;3,8408100605010986;3,843640089035034;0
2016-10-24;3,8571701049804688;3,8571701049804688;3,8640201091766357;3,848720073699951;3,856920003890991;0
2016-10-25;3,8552799224853516;3,8552799224853516;3,861219882965088;3,8422598838806152;3,854919910430908;0
2016-10-26;3,8450300693511963;3,8450300693511963;3,849519968032837;3,8337900638580322;3,8449299335479736;0
