Pair,Groupe,Forward_used,nb_garde,mean_ICIR,best_absICIR,signal_dir,carry
USDMXN,EM,5,1,-1.599,1.599,INVERTED,-5.375
USDTRY,EM,5,3,1.164,1.224,POSITIVE,-38.875
USDCNY,EM,5,4,0.837,1.023,POSITIVE,0.525
USDCLP,EM,5,1,-1.013,1.013,INVERTED,-1.375
USDHKD,EM,5,2,0.854,0.965,POSITIVE,-1.625
USDZAR,EM,5,1,-0.959,0.959,INVERTED,-3.875
USDPKR,EM,5,3,0.636,0.809,POSITIVE,-9.375
GBPUSD,G10,20,1,0.554,0.554,POSITIVE,0.125
